query,expected_document,expected_chunk,retrieved_document_1,retrieved_document_2,retrieved_document_3,retrieved_chunk_1,retrieved_chunk_2,retrieved_chunk_3,title_1,title_2,title_3,score_1,score_2,score_3,hit@1,hit@3,hit@5,reciprocal_rank,expected_document_in_vector,expected_chunk_in_vector,expected_chunk_after_rerank,diagnosis,diagnosis_recommendation,error
"What are the date, time, and venue for the talk titled 'Selected Readings of Five-character Poems in the Han, Wei and Jin Dynasties'?",01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s10:c0:b258586046b67a3f,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,54a99664-9994-454a-b750-89522cc03e42,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s10:c0:b258586046b67a3f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s8:c0:fbc017e95b548766,54a99664-9994-454a-b750-89522cc03e42:v1:s4:c0:6f6134315a369f93,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,Parent-Child Story Theatre Event,0.9999229907989502,0.9905365109443665,0.9539980888366699,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
"What are the date, time, and venue for the talk titled 'The Philosophy of Laozi and Zhuangzi'?",01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s11:c0:aa6c5e2f2dfd0de9,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,3d1decc4-6ab4-49ce-a3d8-2e171c8acdfb,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s11:c0:aa6c5e2f2dfd0de9,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s7:c0:e9f26d91112f7ab5,3d1decc4-6ab4-49ce-a3d8-2e171c8acdfb:v1:s8:c0:e18a8a9384a0318f,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Hok Hoi Lectures on Chinese Wisdom and Life Pursuits (May to Aug 2026),0.9999459981918335,0.9999343156814575,0.8488907814025879,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
What are the dates and times for the Writing Workshops for Novices in 2026 focusing on Novels at Sha Tin Public Library?,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s2:c0:3736a010fde1bedb,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,ce166332-e10a-45b1-b807-27a8a9bcd34e,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s2:c0:3736a010fde1bedb,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s4:c0:7f1c9f9023d07697,ce166332-e10a-45b1-b807-27a8a9bcd34e:v1:s2:c0:ecdd920fb3ea86e0,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - IT Activities,0.9999750852584839,0.999896764755249,0.9711472392082214,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
When and where is the Meet-the-Authors event titled 'Blissful Den - What is Happiness?' held?,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s3:c0:6fbb8a90fca2ff87,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s3:c0:6fbb8a90fca2ff87,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s9:c0:5b0233379fb468ab,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s5:c0:899bdcd33aa68747,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,0.999919056892395,0.9999188184738159,0.9997115731239319,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
What are the dates and times for the Writing Workshops for Novices in Poetry in 2026 at Lai Chi Kok Public Library?,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s4:c0:7f1c9f9023d07697,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,3d1decc4-6ab4-49ce-a3d8-2e171c8acdfb,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s4:c0:7f1c9f9023d07697,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s2:c0:3736a010fde1bedb,3d1decc4-6ab4-49ce-a3d8-2e171c8acdfb:v1:s4:c0:671b8df9e2bcb7b1,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Hok Hoi Lectures on Chinese Wisdom and Life Pursuits (May to Aug 2026),0.9999587535858154,0.999653697013855,0.9507793188095093,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
When and where is the Meet-the-Authors event titled 'Blissful Den - Blissful Moments in Sports Fiction' held?,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s5:c0:899bdcd33aa68747,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s5:c0:899bdcd33aa68747,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s9:c0:5b0233379fb468ab,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s3:c0:6fbb8a90fca2ff87,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,Hong Kong Public Libraries - Literary Activities,0.9999442100524902,0.9999383687973022,0.9998356103897095,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
"What are the opening hours for the Students' study rooms of the Hong Kong Public Libraries on Saturday, Sunday and public holidays during the period from 1 March to 7 May 2025?",0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s2:c0:d42229f98bf4e490,0cf40f6a-f030-4d00-a440-f1fe325bbace,325b7aa3-7d09-48e8-b393-59b6c1ba3e72,0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s3:c0:bdcabccfb8cffcf9,325b7aa3-7d09-48e8-b393-59b6c1ba3e72:v1:s3:c0:cef76ead8e94f114,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s2:c0:d42229f98bf4e490,Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2025),Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2026),Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2025),0.8444086564901074,0.8308661479274123,0.8020552039758926,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
What are the opening hours of the HKPL students' study rooms from 8 to 31 May 2025 on public holidays?,0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s3:c0:bdcabccfb8cffcf9,0cf40f6a-f030-4d00-a440-f1fe325bbace,325b7aa3-7d09-48e8-b393-59b6c1ba3e72,0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s3:c0:bdcabccfb8cffcf9,325b7aa3-7d09-48e8-b393-59b6c1ba3e72:v1:s3:c0:cef76ead8e94f114,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s2:c0:d42229f98bf4e490,Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2025),Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2026),Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2025),0.8403927588696947,0.8236431023755467,0.7374012909770794,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
"What are the dates, time, and venue for the Tang-style Photo Taking and Bookmark Making activity in the Chinese Culture Promotion Series?",168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s10:c0:3bb7aa2a518fc0c1,afd45438-71b1-4fd1-9007-13ab2723360d,afd45438-71b1-4fd1-9007-13ab2723360d,168ef7c9-d20f-41ef-a1f7-922e3693c951,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s6:c0:fe0e8f6a423024a0,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s9:c0:fdd0d66ea57c4af1,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s6:c0:fe0e8f6a423024a0,Hong Kong Public Libraries - Reading Activities,Hong Kong Public Libraries - Reading Activities,Hong Kong Public Libraries - Reading Activities,0.999975323677063,0.9999748468399048,0.9999746084213257,False,True,True,0.3333333333333333,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
When and where is the Tang-style Photo Taking and Bookmark Making activity held?,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s11:c0:c6a2510ef49e4b29,168ef7c9-d20f-41ef-a1f7-922e3693c951,afd45438-71b1-4fd1-9007-13ab2723360d,afd45438-71b1-4fd1-9007-13ab2723360d,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s10:c0:3bb7aa2a518fc0c1,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s9:c0:fdd0d66ea57c4af1,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s10:c0:c6a2510ef49e4b29,Hong Kong Public Libraries - Reading Activities,Hong Kong Public Libraries - Reading Activities,Hong Kong Public Libraries - Reading Activities,0.9995420575141907,0.9994545578956604,0.9994045495986938,True,True,True,1.0,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
When is the Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth in 2024-2025 held at Fa Yuen Street Public Library?,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s2:c0:c6dac61db39e7087,afd45438-71b1-4fd1-9007-13ab2723360d,168ef7c9-d20f-41ef-a1f7-922e3693c951,afd45438-71b1-4fd1-9007-13ab2723360d,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s2:c0:c6dac61db39e7087,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s2:c0:c6dac61db39e7087,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s4:c0:8e2302e6949fd9e7,Hong Kong Public Libraries - Reading Activities,Hong Kong Public Libraries - Reading Activities,Hong Kong Public Libraries - Reading Activities,0.9999350309371948,0.9999284744262695,0.9991748929023743,False,True,True,0.5,True,True,True,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",
