domain,query,expected_answer_text,expected_context_snippet,source_title,source_url,source_type,source_document_id,source_chunk_id
events,"What are the date, time, and venue for the talk titled 'Selected Readings of Five-character Poems in the Han, Wei and Jin Dynasties'?",2026/7/26 (Sunday) from 2:15 p.m. to 3:45 p.m. at City Hall Public Library (Extension Activities Room),Date: 2026/7/26 (Sunday) Time: 2:15 p.m. to 3:45 p.m. Venue: City Hall Public Library (Extension Activities Room),Hong Kong Public Libraries - Literary Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23421/literary-activities,generated_from_kb,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s10:c0:b258586046b67a3f
events,"What are the date, time, and venue for the talk titled 'The Philosophy of Laozi and Zhuangzi'?",2026/7/24 (Friday) from 6:00 p.m. to 7:30 p.m. at Yau Ma Tei Public Library (Extension Activities Room),Date: 2026/7/24 (Friday) Time: 6:00 p.m. to 7:30 p.m. Venue: Yau Ma Tei Public Library (Extension Activities Room),Hong Kong Public Libraries - Literary Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23421/literary-activities,generated_from_kb,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s11:c0:aa6c5e2f2dfd0de9
events,What are the dates and times for the Writing Workshops for Novices in 2026 focusing on Novels at Sha Tin Public Library?,"5, 12, 19 September ; 3, 10, 17, 24 & 31 October 2026 (Saturday) 3:30 p.m. - 5:30 p.m.","Date & Time: 5, 12, 19 September ; 3, 10, 17, 24 & 31 October 2026 (Saturday) 3:30 p.m. - 5:30 p.m.",Hong Kong Public Libraries - Literary Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23421/literary-activities,generated_from_kb,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s2:c0:3736a010fde1bedb
events,When and where is the Meet-the-Authors event titled 'Blissful Den - What is Happiness?' held?,30 August 2026 (Sunday) 2:30 p.m. - 4:00 p.m. at Ping Shan Tin Shui Wai Public Library (Extension Activities Room),Date & Time: 30 August 2026 (Sunday) 2:30 p.m. - 4:00 p.m. Venue: Ping Shan Tin Shui Wai Public Library (Extension Activities Room),Hong Kong Public Libraries - Literary Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23421/literary-activities,generated_from_kb,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s3:c0:6fbb8a90fca2ff87
events,What are the dates and times for the Writing Workshops for Novices in Poetry in 2026 at Lai Chi Kok Public Library?,"4, 11, 18, 25 July ; 1, 8, 15, 22 August 2026 (Saturday) 3:30 p.m. - 5:30 p.m.","Date & Time: 4, 11, 18, 25 July ; 1, 8, 15, 22 August 2026 (Saturday) 3:30 p.m. - 5:30 p.m.",Hong Kong Public Libraries - Literary Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23421/literary-activities,generated_from_kb,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s4:c0:7f1c9f9023d07697
events,When and where is the Meet-the-Authors event titled 'Blissful Den - Blissful Moments in Sports Fiction' held?,1 August 2026 (Saturday) 2:30 p.m. - 4:00 p.m. at Tuen Mun Public Library (Extension Activities Room),Date & Time: 1 August 2026 (Saturday) 2:30 p.m. - 4:00 p.m. Venue: Tuen Mun Public Library (Extension Activities Room),Hong Kong Public Libraries - Literary Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23421/literary-activities,generated_from_kb,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s5:c0:899bdcd33aa68747
opening_hours,"What are the opening hours for the Students' study rooms of the Hong Kong Public Libraries on Saturday, Sunday and public holidays during the period from 1 March to 7 May 2025?",5:30 pm - 9:30 pm,"5:30 pm - 9:30 pm (Saturday, Sunday and public holidays)",Hong Kong Public Libraries - Notes on Application for Admission Card to Students' Study Room (Applicable to the examination season from March to May in 2025),https://www.hkpl.gov.hk/en/library-notices/locat_hour_loh_ssroh2025_q8m8odv0p3famjmul8512b1e26.html,generated_from_kb,0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s2:c0:d42229f98bf4e490
opening_hours,What are the opening hours of the HKPL students' study rooms from 8 to 31 May 2025 on public holidays?,8:00 am - 9:30 pm,"8:00 am - 9:30 pm (Saturday, Sunday and public holidays)",Hong Kong Public Libraries - Notes on Application for Admission Card to Students' Study Room (Applicable to the examination season from March to May in 2025),https://www.hkpl.gov.hk/en/library-notices/locat_hour_loh_ssroh2025_q8m8odv0p3famjmul8512b1e26.html,generated_from_kb,0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s3:c0:bdcabccfb8cffcf9
opening_hours,"What are the dates, time, and venue for the Tang-style Photo Taking and Bookmark Making activity in the Chinese Culture Promotion Series?",2026/8/1 (Saturday) to 2026/8/31 (Monday) at Library Opening Hours at Sham Shui Po Public Library,Date: 2026/8/1 (Saturday) to 2026/8/31 (Monday) Time: Library Opening Hours Venue: Sham Shui Po Public Library,Hong Kong Public Libraries - Reading Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23426/reading-activities,generated_from_kb,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s10:c0:3bb7aa2a518fc0c1
opening_hours,When and where is the Tang-style Photo Taking and Bookmark Making activity held?,2026/8/1 (Saturday) to 2026/8/31 (Monday) at Lai Chi Kok Public Library,Date: 2026/8/1 (Saturday) to 2026/8/31 (Monday) Time: Library Opening Hours Venue: Lai Chi Kok Public Library,Hong Kong Public Libraries - Reading Activities,https://www.hkpl.gov.hk/en/extension-activities/event-category/23426/reading-activities,generated_from_kb,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s11:c0:c6a2510ef49e4b29
