domain,query,expected_answer_text,generated_answer,expected_document_id,expected_chunk_id,top_source_title,top_document_id,top_chunk_id,source_match_at_3,chunk_match_at_3,prompt_tokens,completion_tokens,total_tokens,retriever_query_tokens,reranker_input_tokens,context_tokens,pipeline_total_tokens,tokens_are_estimated,correctness_score,correctness_reason,faithfulness_score,faithfulness_reason,relevancy_score,relevancy_reason,diagnosis,diagnosis_recommendation,latency_seconds
events,"What are the date, time, and venue for the talk titled 'Selected Readings of Five-character Poems in the Han, Wei and Jin Dynasties'?",2026/7/26 (Sunday) from 2:15 p.m. to 3:45 p.m. at City Hall Public Library (Extension Activities Room),"Date: 2026/7/26 (Sunday)
Time: 2:15 p.m. to 3:45 p.m.
Venue: City Hall Public Library (Extension Activities Room)",01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s10:c0:b258586046b67a3f,Hong Kong Public Libraries - Literary Activities,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s10:c0:b258586046b67a3f,True,True,1110,47,1157,33,2139,1010,3329,False,5.0,"The generated answer is fully relevant and provides the exact date, time, and venue requested by the user, matching the reference answer perfectly.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.2712
events,"What are the date, time, and venue for the talk titled 'The Philosophy of Laozi and Zhuangzi'?",2026/7/24 (Friday) from 6:00 p.m. to 7:30 p.m. at Yau Ma Tei Public Library (Extension Activities Room),"The talk titled ""The Philosophy of Laozi and Zhuangzi"" is scheduled for:

- **Date:** 2026/7/24 (Friday) and 2026/7/31 (Friday)
- **Time:** 6:00 p.m. to 7:30 p.m.
- **Venue:** Yau Ma Tei Public Library (Extension Activities Room)",01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s11:c0:aa6c5e2f2dfd0de9,Hong Kong Public Libraries - Literary Activities,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s11:c0:aa6c5e2f2dfd0de9,True,True,1011,89,1100,25,1712,920,2837,False,2.5,"The generated answer is relevant but contains a factual error by adding an extra date (2026/7/31) that is not present in the reference answer. Since the reference answer specifies only one date, the inclusion of a second date makes the generated answer partially incorrect.",1.0,YES,1.0,YES,llm_generation_problem,"Correct evidence reached the LLM, but answer quality was poor. Improve answer prompt.",2.5375
events,What are the dates and times for the Writing Workshops for Novices in 2026 focusing on Novels at Sha Tin Public Library?,"5, 12, 19 September ; 3, 10, 17, 24 & 31 October 2026 (Saturday) 3:30 p.m. - 5:30 p.m.","The dates and times for the Writing Workshops for Novices in 2026 focusing on Novels at Sha Tin Public Library are:

- **Dates**: 5, 12, 19 September; 3, 10, 17, 24 & 31 October 2026 (Saturday)
- **Time**: 3:30 p.m. - 5:30 p.m.

**Venue**: Sha Tin Public Library (Extension Activities Room)  
**Application deadline**: 4 August 2026",01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s2:c0:3736a010fde1bedb,Hong Kong Public Libraries - Literary Activities,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s2:c0:3736a010fde1bedb,True,True,623,120,743,30,1317,527,2090,False,5.0,"The generated answer is fully relevant and correct, providing all the specific dates and times requested in the user query. It matches the reference answer exactly for the core information while adding helpful context such as the specific room and application deadline, which enhances the response without introducing errors.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.8547
events,When and where is the Meet-the-Authors event titled 'Blissful Den - What is Happiness?' held?,30 August 2026 (Sunday) 2:30 p.m. - 4:00 p.m. at Ping Shan Tin Shui Wai Public Library (Extension Activities Room),The Meet-the-Authors event titled 'Blissful Den - What is Happiness?' is held on 30 August 2026 (Sunday) from 2:30 p.m. to 4:00 p.m. at the Ping Shan Tin Shui Wai Public Library (Extension Activities Room).,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s3:c0:6fbb8a90fca2ff87,Hong Kong Public Libraries - Literary Activities,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s3:c0:6fbb8a90fca2ff87,True,True,795,66,861,23,1652,705,2536,False,5.0,"The generated answer is fully relevant and provides the exact same correct information as the reference answer regarding the date, time, and location of the event.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.118
events,What are the dates and times for the Writing Workshops for Novices in Poetry in 2026 at Lai Chi Kok Public Library?,"4, 11, 18, 25 July ; 1, 8, 15, 22 August 2026 (Saturday) 3:30 p.m. - 5:30 p.m.","The dates and times for the Writing Workshops for Novices in Poetry in 2026 at Lai Chi Kok Public Library are:

- **Dates**: 4, 11, 18, 25 July; 1, 8, 15, 22 August 2026 (Saturday)
- **Time**: 3:30 p.m. – 5:30 p.m.",01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s4:c0:7f1c9f9023d07697,Hong Kong Public Libraries - Literary Activities,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s4:c0:7f1c9f9023d07697,True,True,601,92,693,30,1307,506,2030,False,5.0,"The generated answer is fully relevant and accurate, matching the reference answer exactly in terms of dates, times, and event details. It is well-formatted and easy to read.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.386
events,When and where is the Meet-the-Authors event titled 'Blissful Den - Blissful Moments in Sports Fiction' held?,1 August 2026 (Saturday) 2:30 p.m. - 4:00 p.m. at Tuen Mun Public Library (Extension Activities Room),The Meet-the-Authors event titled 'Blissful Den - Blissful Moments in Sports Fiction' is held on 1 August 2026 (Saturday) from 2:30 p.m. to 4:00 p.m. at Tuen Mun Public Library (Extension Activities Room).,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s5:c0:899bdcd33aa68747,Hong Kong Public Libraries - Literary Activities,01121b58-4b71-454c-b5b8-e7693eb0014f,01121b58-4b71-454c-b5b8-e7693eb0014f:v1:s5:c0:899bdcd33aa68747,True,True,798,63,861,26,1770,705,2657,False,5.0,"The generated answer is fully relevant and provides the exact same correct information as the reference answer regarding the date, time, and location of the event.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.115
opening_hours,"What are the opening hours for the Students' study rooms of the Hong Kong Public Libraries on Saturday, Sunday and public holidays during the period from 1 March to 7 May 2025?",5:30 pm - 9:30 pm,"During the period from 1 March to 7 May 2025, the opening hours for the HKPL students' study rooms on Saturday, Sunday and public holidays are:

*   **5:30 pm – 9:30 pm**

This information is based on the three-session schedule provided for that period:
*   Morning: 8:00 am – 12:30 pm
*   Afternoon: 12:45 pm – 5:15 pm
*   Evening: 5:30 pm – 9:30 pm (Saturday, Sunday and public holidays)",0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s2:c0:d42229f98bf4e490,Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2025),0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s3:c0:bdcabccfb8cffcf9,True,True,2177,134,2311,41,5056,2069,7408,False,5.0,"The generated answer is fully relevant and correct. It provides the exact opening hours requested (5:30 pm – 9:30 pm) for the specified dates and days, matching the reference answer. Additionally, it offers helpful context by listing the other session times, enhancing the user's understanding of the overall schedule without introducing any errors.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",3.4754
opening_hours,What are the opening hours of the HKPL students' study rooms from 8 to 31 May 2025 on public holidays?,8:00 am - 9:30 pm,"From 8 to 31 May 2025, the opening hours of the HKPL students' study rooms on public holidays are 8:00 am - 9:30 pm.",0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s3:c0:bdcabccfb8cffcf9,Hong Kong Public Libraries - Notes on Application for Admission Card to Students’ Study Room (Applicable to the examination season from March to May in 2025),0cf40f6a-f030-4d00-a440-f1fe325bbace,0cf40f6a-f030-4d00-a440-f1fe325bbace:v1:s3:c0:bdcabccfb8cffcf9,True,True,2167,43,2210,30,2458,2070,4698,False,5.0,"The generated answer is fully relevant and correct. It accurately incorporates the specific dates (8 to 31 May 2025), the condition (public holidays), and the correct opening hours (8:00 am - 9:30 pm) as stated in the reference answer, while also providing a complete sentence structure.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.341
opening_hours,"What are the dates, time, and venue for the Tang-style Photo Taking and Bookmark Making activity in the Chinese Culture Promotion Series?",2026/8/1 (Saturday) to 2026/8/31 (Monday) at Library Opening Hours at Sham Shui Po Public Library,"The Tang-style Photo Taking and Bookmark Making activity in the Chinese Culture Promotion Series will be held from 2026/8/1 (Saturday) to 2026/8/31 (Monday) during library opening hours at the following venues:

- Po On Road Public Library
- Un Chau Street Public Library
- Sham Shui Po Public Library
- Lai Chi Kok Public Library",168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s10:c0:3bb7aa2a518fc0c1,Hong Kong Public Libraries - Reading Activities,afd45438-71b1-4fd1-9007-13ab2723360d,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s6:c0:fe0e8f6a423024a0,True,True,478,83,561,26,984,385,1571,False,4.0,"The generated answer is relevant and mostly correct, matching the reference answer's dates and time. However, it introduces additional venues not mentioned in the reference answer. Without external verification, these extra venues could be hallucinations or errors, preventing a perfect score.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.1175
opening_hours,When and where is the Tang-style Photo Taking and Bookmark Making activity held?,2026/8/1 (Saturday) to 2026/8/31 (Monday) at Lai Chi Kok Public Library,"The Tang-style Photo Taking and Bookmark Making activity is held from 1 August 2026 (Saturday) to 31 August 2026 (Monday) during library opening hours at the following venues:

- Sham Shui Po Public Library
- Un Chau Street Public Library
- Lai Chi Kok Public Library
- Shek Kip Mei Public Library",168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s11:c0:c6a2510ef49e4b29,Hong Kong Public Libraries - Reading Activities,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s10:c0:3bb7aa2a518fc0c1,True,True,469,76,545,15,874,387,1434,False,4.0,"The generated answer is relevant and mostly correct, providing the accurate dates and including the correct venue (Lai Chi Kok Public Library) mentioned in the reference. However, it introduces additional venues (Sham Shui Po, Un Chau Street, Shek Kip Mei) that are not present in the reference answer. Without external verification, these additions could be hallucinations or errors, which prevents the answer from being a perfect match for the reference. Therefore, it receives a high score but not the maximum.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.9962
