domain,query,expected_answer_text,expected_context_snippet,expected_context_snippets_json,accepted_answers_json,source_title,source_url,source_document_id,source_chunk_id,source_chunk_ids_json
general,When will the improvement works for smart book return be carried out at Tsz Wan Shan Public Library?,The improvement works will be carried out from 22 May 2026 (Friday) to late September 2026.,Improvement works for smart book return will be carried out at Tsz Wan Shan Public Library from 22 May 2026 (Friday) and last for approximately four months.,"[""Improvement works for smart book return will be carried out at Tsz Wan Shan Public Library from 22 May 2026 (Friday) and last for approximately four months.""]",[],Hong Kong Public Libraries - Improvement Works at Tsz Wan Shan Public Library [Expected Works Period: 22 May to late September 2026],https://www.hkpl.gov.hk/en/library-notices/notice_twspl_smartreturn_may2026_95i8gja4cikq8smuhllkohrnsi.html,01822e29-85ee-4ad2-8ed7-85db0f73b278,01822e29-85ee-4ad2-8ed7-85db0f73b278:v1:l28af5a497ca4:p1:6703ab89f3b09a59,"[""01822e29-85ee-4ad2-8ed7-85db0f73b278:v1:l28af5a497ca4:p1:6703ab89f3b09a59""]"
events,What is the telephone number for the School and Organization Visits service at the Hong Kong Central Library?,2921 0563,"School and Organization Visits, Telephone number = 2921 0563.","[""School and Organization Visits, Telephone number = 2921 0563.""]",[],Hong Kong Public Libraries - Hong Kong Central Library Enquiry Phone List,https://www.hkpl.gov.hk/en/about-us/HKCL/Phone.html,027b913f-47d2-460f-8382-6b374443b958,027b913f-47d2-460f-8382-6b374443b958:v1:l5ab09bb3609a:p1:211dcf7807bebe83,"[""027b913f-47d2-460f-8382-6b374443b958:v1:l5ab09bb3609a:p1:211dcf7807bebe83""]"
contact_information,"What is the fax number for sending suggestions, comments, or enquiries about Hong Kong Central Library services or collections?",2881 5500,may be sent via fax to 2881 5500,"[""may be sent via fax to 2881 5500""]",[],Hong Kong Public Libraries - Hong Kong Central Library Enquiry Phone List,https://www.hkpl.gov.hk/en/about-us/HKCL/Phone.html,027b913f-47d2-460f-8382-6b374443b958,027b913f-47d2-460f-8382-6b374443b958:v1:l784974d3ab6f:p1:2be0dc1add9427a6,"[""027b913f-47d2-460f-8382-6b374443b958:v1:l784974d3ab6f:p1:2be0dc1add9427a6""]"
events,"What are the details for the Sensory-inclusive ""Bus A"" Outreach Activities under the Summer Library Festival 2026?","The Sensory-inclusive ""Bus A"" Outreach Activities will be held at the Stone Houses Family Garden, a revitalised Grade III historic building. For the event schedule and registration details, please visit: https://slf.readingpromotion.gov.hk/event/rd9n5tsn04kc3ur07zialwvl/?lang=EN","The activities will be held at the Stone Houses Family Garden, a revitalised Grade III historic building. Please [click here](https://slf.readingpromotion.gov.hk/event/rd9n5tsn04kc3ur07zialwvl/?lang=EN) for the details of event schedule and registration.","[""The activities will be held at the Stone Houses Family Garden, a revitalised Grade III historic building. Please [click here](https://slf.readingpromotion.gov.hk/event/rd9n5tsn04kc3ur07zialwvl/?lang=EN) for the details of event schedule and registration.""]",[],Hong Kong Public Libraries - Summer Library Festival 2026,https://www.hkpl.gov.hk/en/extension-activities/event-category/299183/summer-library-festival-2026,04e0337f-faa5-4dc4-a9c5-821e0e95a2c9,04e0337f-faa5-4dc4-a9c5-821e0e95a2c9:v1:l4e6fe070cb26:p1:b4162a20718454a3,"[""04e0337f-faa5-4dc4-a9c5-821e0e95a2c9:v1:l4e6fe070cb26:p1:b4162a20718454a3""]"
e_resources,Which specific contemporary prominent Chinese writers are mentioned as being included in the Vista E-Book in Traditional Chinese collection?,LAM Hang Tsz and Lin Yutang,"Some of the publications from contemporary prominent Chinese writers, such as LAM Hang Tsz and Lin Yutang are included.","[""Some of the publications from contemporary prominent Chinese writers, such as LAM Hang Tsz and Lin Yutang are included.""]",[],Hong Kong Public Libraries -e-Books,https://www.hkpl.gov.hk/en/e-resources/e-books/home/7578,074f7678-ce14-4bdf-b539-4e71c1b3aa2d,074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:lfc3e79042296:p1:cb95cf5f93744b13,"[""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:lfc3e79042296:p1:cb95cf5f93744b13""]"
e_resources,"Which e-book collection offers Chinese scholarly works published by local university presses and renowned publishers on subjects including Chinese language and literature, history, social sciences, parenting, business management and science?","The ""Scholar World"" e-Book collection offers Chinese scholarly e-books published by local university presses and renowned publishers on subjects including Chinese language and literature, history, social sciences, parenting, business management and science.","This collection offers Chinese scholarly e-books published by local university presses and renowned publishers on subjects including Chinese language and literature, history, social sciences, parenting, business management and science","[""This collection offers Chinese scholarly e-books published by local university presses and renowned publishers on subjects including Chinese language and literature, history, social sciences, parenting, business management and science""]",[],Hong Kong Public Libraries -e-Books,https://www.hkpl.gov.hk/en/e-resources/e-books/home/7578,074f7678-ce14-4bdf-b539-4e71c1b3aa2d,074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l65adfc491b19:p1:617546cff11aa322,"[""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l65adfc491b19:p1:617546cff11aa322""]"
e_resources,Which e-book collections available through the Hong Kong Public Libraries offer content specifically in Spanish?,"The Britannica Collective and ProQuest Ebook Central offer content in Spanish. The Britannica Collective includes some e-books in Spanish, while ProQuest Ebook Central includes some e-books in French, German, Spanish, or Italian.","The e-books are mainly in English, with some in Spanish.","[""The e-books are mainly in English, with some in Spanish."", ""The e-books are mainly in English, with some in French, German, Spanish or Italian.""]",[],Hong Kong Public Libraries -e-Books,https://www.hkpl.gov.hk/en/e-resources/e-books/home/7578,074f7678-ce14-4bdf-b539-4e71c1b3aa2d,074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l1991a78a0016:p1:9b08e285bc87b044,"[""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l1991a78a0016:p1:9b08e285bc87b044"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l4917b9c863e2:p1:b906904ff9d299ec""]"
e_resources,Which e-book collections provided by Hong Kong Public Libraries offer content specifically for children aged 3 to 12 with interactive games and animated stories?,FunPark,"FunPark consists of five thematic portals, namely ""Fun Stories"" , ""Fun Publications"" , ""Fun Learning"" , ""Fun Poems"" and ""Fun Music"" , providing e-books in traditional Chinese characters suitable for children aged 3 to 12 through interactive interfaces. Apart from animated stories narrated in Putonghua, there are interactive games for children to nurture their reading interest and enhance their language skills in a joyful atmosphere.","[""FunPark consists of five thematic portals, namely \""Fun Stories\"" , \""Fun Publications\"" , \""Fun Learning\"" , \""Fun Poems\"" and \""Fun Music\"" , providing e-books in traditional Chinese characters suitable for children aged 3 to 12 through interactive interfaces. Apart from animated stories narrated in Putonghua, there are interactive games for children to nurture their reading interest and enhance their language skills in a joyful atmosphere.""]",[],Hong Kong Public Libraries -e-Books,https://www.hkpl.gov.hk/en/e-resources/e-books/home/7578,074f7678-ce14-4bdf-b539-4e71c1b3aa2d,074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l561fae511430:p1:b933fc747605d729,"[""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l561fae511430:p1:b933fc747605d729""]"
e_resources,"What is the minimum reading time limit for each e-book in the Pop-up e-Book collection, and how frequently are the e-books replaced?","The time limit for reading each e-book is at least three months, and the e-books will be replaced quarterly.","The time limit for reading each e-book is at least three months, and the e-books will be replaced quarterly.","[""The time limit for reading each e-book is at least three months, and the e-books will be replaced quarterly.""]",[],Hong Kong Public Libraries -e-Books,https://www.hkpl.gov.hk/en/e-resources/e-books/home/7578,074f7678-ce14-4bdf-b539-4e71c1b3aa2d,074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l5850a33889bf:p1:c3dfe459f20693e6,"[""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l5850a33889bf:p1:c3dfe459f20693e6""]"
e_resources,Which e-book collections offered by Hong Kong Public Libraries include children's books as a subject category?,"The following e-book collections include children's books: 'JoyReadClub' (covers comics and children's books), 'OverDrive eBooks' (includes children's & young adult collections), 'Apabi Chinese eBooks (Children's Collection)' (offers Chinese e-books suitable for children and teenage readers), 'SUEP ""Hong Kong Renowned Writers"" e-Book' (covers comics and children's books), 'SUEP e-Book' (covers children's books for paired reading), 'Popular Good Reads@SUEP' (covers children's books implied in general scope or specific titles not detailed but part of the platform), 'OverDrive Chinese eBooks (Traditional Chinese)' (Good reads for children and youths are also included), and '""Total Wellness"" e-Book' (covers comics and children's books).","It covers a comprehensive range of subjects, including literature and fiction, investment and wealth management, finance and economics, psychology and inspiration, medicine and health, comics and children's books, etc.","[""It covers a comprehensive range of subjects, including literature and fiction, investment and wealth management, finance and economics, psychology and inspiration, medicine and health, comics and children's books, etc."", ""OverDrive provides access to different varieties of English e-books, which include leisure reading materials, children's & young adult collections, fiction and biography, covering literature, science and technology, business and economics, social sciences and more."", ""The collection offers Chinese e-books suitable for children and teenage readers. Subjects covered include children's literature, education, languages, natural science, biography, etc."", ""This collection offers famous works of renowned Hong Kong writers, covering novels, comics and children's books."", ""A collection of Chinese e-books offered by Sino United Electronic Publishing Ltd. (SUEP) through the \""Nowbook Digital Library\"" e-Book platform, bringing together a myriad of books that are mainly published in Hong Kong, covering children's books for paired reading, literature and fiction, as well as books on business and economics, household knowledge, social sciences, technology and medicines, language learning, education, biography, etc."", ""A collection of selected popular e-books in traditional Chinese from the \""Nowbook Digital Library\"" e-book platform, covering such topics as literature and fiction, household knowledge, spiritual support, humanities and social science, business and economics, as well as medicines and healthcare."", ""The collection offers a variety of Chinese e-books, covering such topics as literature and fiction, spiritual support, household knowledge, technology and medicines, business and economics, social sciences, as well as history and biographies. Good reads for children and youths are also included."", ""This collection offers locally published Chinese e-books on lifestyle and health care, covering fiction, comics and children's books for readers to enjoy the fun of leisure reading, thereby enhancing their quality of life.""]",[],Hong Kong Public Libraries -e-Books,https://www.hkpl.gov.hk/en/e-resources/e-books/home/7578,074f7678-ce14-4bdf-b539-4e71c1b3aa2d,074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:ld5ec0d0731cc:p1:788ccbd7ceb394ed,"[""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:ld5ec0d0731cc:p1:788ccbd7ceb394ed"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l3a875e5af13b:p1:e725fb6d3fabd560"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l8c9270244dd0:p1:5653d73e92054964"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:l94d73aba1634:p1:14d56c52a7cabe31"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:lbd5679ea89a2:p1:357229d81d4b4e00"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:le562cd6c1443:p1:fd1d5e95a4bf389e"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:led8ac6bcda55:p1:a1d588712be67b95"", ""074f7678-ce14-4bdf-b539-4e71c1b3aa2d:v1:lf6e2d27c86dd:p1:12beb505c4e4e409""]"
